"VIN","_id","host","ip","apiKey","userId","idReporte","requestParameters","requestUrl","responseCode","responseCodeStatus","requestTime","responseTime","labels","idRespuesta","idConsulta","responseBody","carfaxUsaData","alertas","firewallUsa"
"3D4PG5FV2AT257436","672a441a7384826621095dc5","10.240.2.38:80","201.116.128.213:25281,10.240.1.169, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/3D4PG5FV2AT257436","200","ok","5/11/2024 10:13:14","5/11/2024 10:13:16",,"672a441c7384826621095dc6","672a441a7384826621095dc5","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""DODGE"",""modelo"":""JOURNEY SXT"",""anioModelo"":""2010"",""fabricante"":""CHRYSLER DE MEXICO TOLUCA"",""paisOrigen"":""MÉXICO"",""tiempoConsulta"":""2024-11-05T10:13:14-06:00"",""tiempoRespuesta"":""2024-11-05T10:13:16-06:00""}","{""vin"":""3D4PG5FV2AT257436"",""timestamp"":""2024-11-05T10:13:15.000"",""components"":{""potentialFraudFile"":{""year"":2010,""make"":""DODGE"",""model"":""JOURNEY SXT"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"1N6AA07A65N519903","672a43f469994fdacd6fe53a","10.240.2.38:80","201.116.128.213:25280,10.240.5.208, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1N6AA07A65N519903","200","ok","5/11/2024 10:12:36","5/11/2024 10:12:37",,"672a43f569994fdacd6fe53b","672a43f469994fdacd6fe53a","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""NISSAN"",""modelo"":""TITAN XE"",""anioModelo"":""2005"",""fabricante"":""NISSAN NORTH AMERICA, INC."",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:12:36-06:00"",""tiempoRespuesta"":""2024-11-05T10:12:37-06:00""}","{""vin"":""1N6AA07A65N519903"",""timestamp"":""2024-11-05T10:12:36.000"",""components"":{""potentialFraudFile"":{""year"":2005,""make"":""NISSAN"",""model"":""TITAN XE"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"1FTPX12V17FA64211","672a43e77384826621095dc3","10.240.2.38:80","201.116.128.213:25279,10.240.1.225, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1FTPX12V17FA64211","200","ok","5/11/2024 10:12:23","5/11/2024 10:12:24",,"672a43e87384826621095dc4","672a43e77384826621095dc3","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""FORD"",""modelo"":""F-150 XL"",""anioModelo"":""2007"",""fabricante"":""FORD MOTOR COMPANY"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:12:23-06:00"",""tiempoRespuesta"":""2024-11-05T10:12:24-06:00""}","{""vin"":""1FTPX12V17FA64211"",""timestamp"":""2024-11-05T10:12:23.000"",""components"":{""potentialFraudFile"":{""year"":2007,""make"":""FORD"",""model"":""F-150 XL"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"1FTYR44V52PB42280","672a43e3124bd56498eadd8d","10.240.2.38:80","201.116.128.213:25279,10.240.1.225, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1FTYR44V52PB42280","200","ok","5/11/2024 10:12:19","5/11/2024 10:12:20",,"672a43e4124bd56498eadd8e","672a43e3124bd56498eadd8d","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""FORD"",""modelo"":""RANGER XLT APPEARANCE"",""anioModelo"":""2002"",""fabricante"":""FORD MOTOR COMPANY"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:12:19-06:00"",""tiempoRespuesta"":""2024-11-05T10:12:20-06:00""}","{""vin"":""1FTYR44V52PB42280"",""timestamp"":""2024-11-05T10:12:19.000"",""components"":{""potentialFraudFile"":{""year"":2002,""make"":""FORD"",""model"":""RANGER XLT APPEARANCE"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"2GNALDEK1C6381597","672a43e17384826621095dc1","10.240.2.38:80","201.116.128.213:25279,10.240.1.225, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/2GNALDEK1C6381597","200","ok","5/11/2024 10:12:17","5/11/2024 10:12:18",,"672a43e27384826621095dc2","672a43e17384826621095dc1","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""CHEVROLET"",""modelo"":""EQUINOX LT"",""anioModelo"":""2012"",""fabricante"":""GENERAL MOTORS LLC"",""paisOrigen"":""CANADÁ"",""tiempoConsulta"":""2024-11-05T10:12:17-06:00"",""tiempoRespuesta"":""2024-11-05T10:12:18-06:00""}","{""vin"":""2GNALDEK1C6381597"",""timestamp"":""2024-11-05T10:12:17.000"",""components"":{""potentialFraudFile"":{""year"":2012,""make"":""CHEVROLET"",""model"":""EQUINOX LT"",""rateEvasionFlags"":[""Non-Personal Ownership Type""],""potentialFraudFlags"":[""Out Of Operation""],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"5FNYF3H63BB006360","672a43e0124bd56498eadd8b","10.240.2.38:80","201.116.128.213:25278,10.240.3.57, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/5FNYF3H63BB006360","200","ok","5/11/2024 10:12:16","5/11/2024 10:12:18",,"672a43e2124bd56498eadd8c","672a43e0124bd56498eadd8b","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""HONDA"",""modelo"":""PILOT EX-L W/DVD"",""anioModelo"":""2011"",""fabricante"":""AMERICAN HONDA MOTOR CO., INC."",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:12:16-06:00"",""tiempoRespuesta"":""2024-11-05T10:12:18-06:00""}","{""vin"":""5FNYF3H63BB006360"",""timestamp"":""2024-11-05T10:12:16.000"",""components"":{""potentialFraudFile"":{""year"":2011,""make"":""HONDA"",""model"":""PILOT EX-L W/DVD"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"JNKCV64E18M109951","672a43df69994fdacd6fe538","10.240.2.38:80","201.116.128.213:25278,10.240.3.57, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/JNKCV64E18M109951","200","ok","5/11/2024 10:12:15","5/11/2024 10:12:16",,"672a43e069994fdacd6fe539","672a43df69994fdacd6fe538","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""INFINITI"",""modelo"":""G37 JOURNEY"",""anioModelo"":""2008"",""fabricante"":""NISSAN MOTOR COMPANY, LTD"",""paisOrigen"":""JAPÓN"",""tiempoConsulta"":""2024-11-05T10:12:15-06:00"",""tiempoRespuesta"":""2024-11-05T10:12:16-06:00""}","{""vin"":""JNKCV64E18M109951"",""timestamp"":""2024-11-05T10:12:15.000"",""components"":{""potentialFraudFile"":{""year"":2008,""make"":""INFINITI"",""model"":""G37 JOURNEY"",""rateEvasionFlags"":[],""potentialFraudFlags"":[""Out Of Operation""],""vinCloningFlags"":[""Inactive""]}},""customCalculationOdometer"":""""}","[]","0"
"1FTYR44V52PB54228","672a43d67384826621095dbf","10.240.2.38:80","201.116.128.213:25277,10.240.1.225, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1FTYR44V52PB54228","200","ok","5/11/2024 10:12:06","5/11/2024 10:12:07",,"672a43d77384826621095dc0","672a43d67384826621095dbf","{""mensajes"":[{""codigo"":4,""mensaje"":""El dígito verificador en la 9° posición del VIN 1FTYR44V52PB54228 NO es correcto.""}],""marca"":""FORD"",""modelo"":""RANGER"",""anioModelo"":""2002"",""robo"":false,""roboFecha"":null,""fabricante"":""FORD MOTOR COMPANY"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:12:06-06:00"",""tiempoRespuesta"":""2024-11-05T10:12:07-06:00""}","{""error"":""VIN INVALIDO"",""respuestaCompleta"":{""vin"":""1FTYR44V52PB54228"",""timestamp"":""2024-11-05T10:12:06.000"",""error"":{""message"":""The VIN you entered was invalid""},""vinSuggestions"":[{""vin"":""1FTYR11U52PB54228"",""description"":""2002 FORD/RANGER/3.0L V6    F OHV""},{""vin"":""1FTZR14U52PB54228"",""description"":""2002 FORD/RANGER SUPER CAB/3.0L V6    F OHV""},{""vin"":""1FTZR14V52TB54228"",""description"":""2002 FORD/RANGER SUPER CAB/3.0L V6    F""},{""vin"":""1FTZR45U52PB54228"",""description"":""2002 FORD/RANGER SUPER CAB/3.0L V6    F OHV""},{""vin"":""1FTZR45E52TB54228"",""description"":""2002 FORD/RANGER SUPER CAB/4.0L V6    F SOHC""}]}}","[{""codigo"":4,""mensaje"":""El dígito verificador en la 9° posición del VIN 1FTYR44V52PB54228 NO es correcto.""}]","0"
"1FTYR44V52PB54228","672a43d669994fdacd6fe536","10.240.2.38:80","201.116.128.213:25276,10.240.1.225, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1FTYR44V52PB54228","200","ok","5/11/2024 10:12:06","5/11/2024 10:12:07",,"672a43d769994fdacd6fe537","672a43d669994fdacd6fe536","{""mensajes"":[{""codigo"":4,""mensaje"":""El dígito verificador en la 9° posición del VIN 1FTYR44V52PB54228 NO es correcto.""}],""marca"":""FORD"",""modelo"":""RANGER"",""anioModelo"":""2002"",""robo"":false,""roboFecha"":null,""fabricante"":""FORD MOTOR COMPANY"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:12:06-06:00"",""tiempoRespuesta"":""2024-11-05T10:12:07-06:00""}","{""error"":""VIN INVALIDO"",""respuestaCompleta"":{""vin"":""1FTYR44V52PB54228"",""timestamp"":""2024-11-05T10:12:06.000"",""error"":{""message"":""The VIN you entered was invalid""},""vinSuggestions"":[{""vin"":""1FTYR11U52PB54228"",""description"":""2002 FORD/RANGER/3.0L V6    F OHV""},{""vin"":""1FTZR14U52PB54228"",""description"":""2002 FORD/RANGER SUPER CAB/3.0L V6    F OHV""},{""vin"":""1FTZR14V52TB54228"",""description"":""2002 FORD/RANGER SUPER CAB/3.0L V6    F""},{""vin"":""1FTZR45U52PB54228"",""description"":""2002 FORD/RANGER SUPER CAB/3.0L V6    F OHV""},{""vin"":""1FTZR45E52TB54228"",""description"":""2002 FORD/RANGER SUPER CAB/4.0L V6    F SOHC""}]}}","[{""codigo"":4,""mensaje"":""El dígito verificador en la 9° posición del VIN 1FTYR44V52PB54228 NO es correcto.""}]","0"
"1FTYR44V52PB54228","672a43d5124bd56498eadd89","10.240.2.38:80","201.116.128.213:25275,10.240.1.169, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1FTYR44V52PB54228","200","ok","5/11/2024 10:12:05","5/11/2024 10:12:06",,"672a43d6124bd56498eadd8a","672a43d5124bd56498eadd89","{""mensajes"":[{""codigo"":4,""mensaje"":""El dígito verificador en la 9° posición del VIN 1FTYR44V52PB54228 NO es correcto.""}],""marca"":""FORD"",""modelo"":""RANGER"",""anioModelo"":""2002"",""robo"":false,""roboFecha"":null,""fabricante"":""FORD MOTOR COMPANY"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:12:05-06:00"",""tiempoRespuesta"":""2024-11-05T10:12:06-06:00""}","{""error"":""VIN INVALIDO"",""respuestaCompleta"":{""vin"":""1FTYR44V52PB54228"",""timestamp"":""2024-11-05T10:12:06.000"",""error"":{""message"":""The VIN you entered was invalid""},""vinSuggestions"":[{""vin"":""1FTYR11U52PB54228"",""description"":""2002 FORD/RANGER/3.0L V6    F OHV""},{""vin"":""1FTZR14U52PB54228"",""description"":""2002 FORD/RANGER SUPER CAB/3.0L V6    F OHV""},{""vin"":""1FTZR14V52TB54228"",""description"":""2002 FORD/RANGER SUPER CAB/3.0L V6    F""},{""vin"":""1FTZR45U52PB54228"",""description"":""2002 FORD/RANGER SUPER CAB/3.0L V6    F OHV""},{""vin"":""1FTZR45E52TB54228"",""description"":""2002 FORD/RANGER SUPER CAB/4.0L V6    F SOHC""}]}}","[{""codigo"":4,""mensaje"":""El dígito verificador en la 9° posición del VIN 1FTYR44V52PB54228 NO es correcto.""}]","0"
"5TBRT34123S422249","672a43d069994fdacd6fe534","10.240.2.38:80","201.116.128.213:25275,10.240.5.208, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/5TBRT34123S422249","200","ok","5/11/2024 10:12:00","5/11/2024 10:12:01",,"672a43d169994fdacd6fe535","672a43d069994fdacd6fe534","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""TOYOTA"",""modelo"":""TUNDRA SR5"",""anioModelo"":""2003"",""fabricante"":""TOYOTA MOTOR MANUFACTURING, INDIANA, INC."",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:12:00-06:00"",""tiempoRespuesta"":""2024-11-05T10:12:01-06:00""}","{""vin"":""5TBRT34123S422249"",""timestamp"":""2024-11-05T10:12:01.000"",""components"":{""potentialFraudFile"":{""year"":2003,""make"":""TOYOTA"",""model"":""TUNDRA SR5"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[""Inactive""]}},""customCalculationOdometer"":""""}","[]","0"
"1FTPX12V17FA1FTPX","672a43cd69994fdacd6fe532","10.240.2.38:80","201.116.128.213:25275,10.240.1.169, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1FTPX12V17FA1FTPX","200","ok","5/11/2024 10:11:57","5/11/2024 10:11:58",,"672a43ce69994fdacd6fe533","672a43cd69994fdacd6fe532","{""mensajes"":[{""codigo"":4,""mensaje"":""El dígito verificador en la 9° posición del VIN 1FTPX12V17FA1FTPX NO es correcto.""}],""marca"":""FORD"",""modelo"":""F-150"",""anioModelo"":""2007"",""robo"":false,""roboFecha"":null,""fabricante"":""FORD MOTOR COMPANY"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:11:57-06:00"",""tiempoRespuesta"":""2024-11-05T10:11:58-06:00""}","{""error"":""VIN INVALIDO"",""respuestaCompleta"":{""vin"":""1FTPX12V17FA1FTPX"",""timestamp"":""2024-11-05T10:11:57.000"",""error"":{""message"":""The VIN you entered was invalid""},""vinSuggestions"":[{""vin"":""1FTPX12V47FA1FTPX"",""description"":""2007 FORD/F150/5.4L V8    F SOHC""},{""vin"":""1FTPX02V17FA1FTPX"",""description"":""2007 FORD/F150/5.4L V8  FI  SOHC""},{""vin"":""1FTPW12V17KA1FTPX"",""description"":""2007 FORD/F150 SUPERCREW/5.4L V8    F SOHC""},{""vin"":""1FTPW04V17FA1FTPX"",""description"":""2007 FORD/F150 SUPERCREW/5.4L V8  FI  SOHC""},{""vin"":""1FTRW12W17NA1FTPX"",""description"":""2007 FORD/F150 SUPERCREW/4.6L V8    F SOHC""}]}}","[{""codigo"":4,""mensaje"":""El dígito verificador en la 9° posición del VIN 1FTPX12V17FA1FTPX NO es correcto.""}]","0"
